COURSE_ID,USER_ID,GRADE
1,4,
1,6,90
1,8,75
1,10,99
1,12,57
1,14,93
1,16,52
1,18,54
1,20,52
1,22,68
1,24,91
1,26,65
1,28,
1,30,80
1,32,64
1,34,59
1,36,92
1,38,79
1,40,94
1,42,98
1,44,76
2,46,67
2,48,53
2,50,53
2,52,57
2,54,97
2,56,83
2,58,58
2,60,
2,62,75
2,64,87
2,66,65
2,68,83
2,70,63
2,72,80
2,74,61
2,76,83
2,78,81
2,80,53
2,82,74
2,84,87
2,86,93
2,88,92
2,90,99
2,92,98
2,94,90
2,96,82
2,98,60
2,100,72
2,102,
2,104,60
3,106,53
3,108,83
3,110,63
3,112,78
3,114,75
3,116,75
3,118,97
3,120,82
3,122,100
3,124,64
3,126,92
3,128,86
3,130,69
3,132,100
3,134,90
3,136,88
3,138,73
3,140,95
3,142,91
3,144,66
3,146,67
3,148,77
3,150,57
3,152,67
3,154,68
3,156,69
3,158,99
3,160,90
3,162,93
3,164,50
3,166,63
3,168,98
3,170,59
3,172,82
3,174,92
3,176,87
3,178,64
3,180,68
3,182,76
3,184,50
3,186,92
3,188,90
4,190,91
4,192,88
4,194,74
4,196,78
4,198,79
4,200,81
4,202,65
4,204,
4,206,63
4,208,100
4,210,64
4,212,93
4,214,88
4,216,63
4,218,74
4,220,85
4,222,100
4,224,86
4,226,89
4,228,65
4,230,85
4,232,
4,234,85
4,236,78
4,238,51
4,240,62
4,242,92
4,244,97
