user_id,org_id
3,1
4,1
6,1
7,1
8,1
9,2
10,2
11,2
12,2
14,3
15,3
16,3
17,3
18,3
19,1
20,1
22,1
23,1
24,1
25,2
26,2
27,2
28,2
30,3
31,3
32,3
33,3
34,3
35,1
36,1
37,1
38,1
39,1
40,2
41,2
42,2
43,2
44,3
46,3
47,3
48,3
49,3
50,1
51,1
52,1
53,1
54,1
55,2
56,2
57,2
58,2
59,3
60,3
61,3
62,3
63,3
64,1
65,1
66,1
67,1
68,1
69,2
70,2
71,2
72,2
73,3
74,3
75,3
76,3
77,3
78,1
79,1
80,1
81,1
82,1
83,2
84,2
85,2
86,2
87,3
88,3
89,3
90,3
91,3
92,1
93,1
94,1
95,1
96,1
97,2
98,2
99,2
100,2
101,3
102,3
103,3
104,3
105,3
106,1
107,1
108,1
109,1
110,1
111,2
112,2
113,2
114,2
115,3
116,3
117,3
118,3
119,3
120,1
121,1
122,1
123,1
124,1
125,2
126,2
127,2
128,2
129,3
130,3
131,3
132,3
133,3
134,1
135,1
136,1
137,1
138,1
139,2
140,2
141,2
142,2
143,3
144,3
145,3
146,3
147,3
148,1
149,1
150,1
151,1
152,1
153,2
154,2
155,2
156,2
157,3
158,3
159,3
160,3
161,3
162,1
163,1
164,1
165,1
166,1
167,2
168,2
169,2
170,2
171,3
172,3
173,3
174,3
175,3
176,1
177,1
178,1
179,1
180,1
181,2
182,2
183,2
184,2
185,3
186,3
187,3
188,3
189,3
190,1
191,1
192,1
193,1
194,1
195,2
196,2
197,2
198,2
199,3
200,3
201,3
202,3
203,3
204,1
205,1
206,1
207,1
208,1
209,2
210,2
211,2
212,2
213,3
214,3
215,3
216,3
217,3
218,1
219,1
220,1
221,1
222,1
223,2
224,2
225,2
226,2
227,3
228,3
229,3
230,3
231,3
232,1
233,1
234,1
235,1
236,1
237,2
238,2
239,2
240,2
241,3
242,3
243,3
244,3
245,3
246,1
247,1
248,1
249,1
250,1
251,2
252,2
253,2
254,2
255,3
256,3
257,3
258,3
259,3
260,1
261,1
262,1
263,1
264,1
265,2
266,2
267,2
268,2
269,3
270,3
271,3
272,3
273,3
274,1
275,1
276,1
277,1
278,1
279,2
280,2
281,2
282,2
283,3
284,3
285,3
286,3
287,3
288,1
289,1
290,1
291,1
292,1
293,2
294,2
295,2
296,2
297,3
298,3
299,3
300,3
301,3
302,1
303,1
304,1
305,1
306,1
307,2
308,2
309,2
310,2
311,3
312,3
313,3
314,3
315,3
316,1
317,1
318,1
319,1
320,1
321,2
322,2
323,2
324,2
325,3
326,3
327,3
328,3
329,3
330,1
331,1
332,1
333,1
334,1
335,2
336,2
337,2
338,2
339,3
340,3
341,3
342,3
343,3
344,1
345,1
346,1
347,1
348,1
349,2
350,2
351,2
352,2
353,3
354,3
355,3
356,3
357,3
358,1
359,1
360,1
361,1
362,1
363,2
364,2
365,2
366,2
367,3
368,3
369,3
370,3
371,3
372,1
373,1
374,1
375,1
376,1
377,2
378,2
379,2
380,2
381,3
382,3
383,3
384,3
385,3
386,1
387,1
388,1
